时间,收盘点位,市值,PE-TTM(等权平均值)
2018-03-30,3898.5,34614329289308.79,18.7924
2018-02-28,4023.64,36044107025264.59,19.7845
2018-01-31,4275.9,38689422707593.11,21.0474
2017-12-29,4030.85,35611606459654.59,20.0057
2017-11-30,4006.1,34588452146934.5,20.4363
2017-10-31,4006.72,34764378125762.32,20.7506
2017-09-29,3836.5,33537773732347.31,20.7503
2017-08-31,3822.09,33577777152883.9,20.7129
2017-07-31,3737.87,32734038604980.8,21.0498
2017-06-30,3666.8,31785139972943.316,20.8673
2017-05-31,3492.88,29890733670584.1,20.0769
2017-04-28,3439.75,29175908214948.594,20.517
2017-03-31,3456.05,29176770729357.21,20.9987
2017-02-28,3452.81,29150555563293.62,21.2054
2017-01-26,3387.96,28669717216020.496,20.8361
2016-12-30,3310.08,27680745104502.31,20.4095
2016-11-30,3538,29189095241307.7,20.843
2016-10-31,3336.28,27629621355603.29,19.78
2016-09-30,3253.28,26900452397779.996,19.7612
2016-08-31,3327.79,27606026795980.996,20.1756
2016-07-29,3203.93,26551255694299.39,18.8881
2016-06-30,3153.92,26079121701885.21,18.2253
2016-05-31,3169.56,25990598321361.69,17.954
2016-04-29,3156.75,25869787767259.598,17.9619
2016-03-31,3218.09,26380451825618.496,18.4017
2016-02-29,2877.47,23793885262459.2,16.1894
2016-01-29,2946.09,24352207460893.51,16.6352
2015-12-31,3731,30254092184792.098,21.1934
2015-11-30,3566.41,28473614617222.004,20.1696
2015-10-30,3534.08,28276130628110.1,20.0974
2015-09-30,3202.95,25972336343535.703,17.8099
2015-08-31,3366.54,27090141652224.105,18.6904
2015-07-31,3816.7,31009292988942.7,23.0217
2015-06-30,4473,35693819745030.41,27.135
2015-05-29,4840.83,35801311653620.31,28.2058
2015-04-30,4749.89,36460390329804.805,27.8364
2015-03-31,4051.2,31174180504696.3,25.8041
2015-02-27,3572.84,28065001983584.293,22.9606
2015-01-30,3434.39,27358315601103.895,22.0776
2014-12-31,3533.71,27836439881929.09,22.2735
2014-11-28,2808.82,21454485619515.594,18.0236
2014-10-31,2508.32,19152738444666.594,16.3364
2014-09-30,2450.99,18684178306222.4,15.8063
2014-08-29,2338.29,17995594779377.5,14.8941
2014-07-31,2350.25,18106205301973,15.275
2014-06-30,2165.12,16875661986491,14.0361
2014-05-30,2156.46,16595163562749.2,13.54
2014-04-30,2158.66,16466688651557.598,13.6041
2014-03-31,2146.3,16387365905546.51,13.7028
2014-02-28,2178.97,16520690889056.807,13.8
2014-01-30,2202.45,16476755644778,13.8999
2013-12-31,2330.03,17318187444897.69,14.9346
2013-11-29,2438.94,17807625059063.797,15.0518
2013-10-31,2373.72,17314700231391.805,14.7178
2013-09-30,2409.04,17449665320494.105,14.9647
2013-08-30,2313.91,16902397132940.102,14.6161
2013-07-31,2193.02,16348489071501.9,13.7084
2013-06-28,2200.64,16100740492211.1,13.8765
2013-05-31,2606.43,18676793235159.406,16.5325
2013-04-26,2447.31,17854332708982.797,15.5209
2013-03-29,2495.08,18222749789702.11,16.4932
2013-02-28,2673.33,19319563520626.4,17.7687
2013-01-31,2686.88,19660479079832.496,17.8445
2012-12-31,2522.95,18481676343192.793,16.9564
2012-11-30,2139.66,16156342366024.4,14.4181
2012-10-31,2254.82,16690457436848.607,15.2105
2012-09-28,2293.11,16837110978396.596,14.8365
2012-08-31,2204.87,16462614729066.602,14.4133
2012-07-31,2332.92,17035208119408.502,14.9922
2012-06-29,2461.61,17448465561489.5,16.0046
2012-05-31,2632.04,18546214188488.8,17.3385
2012-04-27,2626.16,18845198858309.8,17.0511
2012-03-30,2454.9,17916857724411.492,15.7184
2012-02-29,2634.14,19079592457174.207,17.0261
2012-01-31,2464.26,18172069906702.902,15.7613
2011-12-30,2345.74,17155623947458.998,14.8129
2011-11-30,2521.52,17814195380867.9,15.9938
2011-10-31,2695.31,18813215045743,17.1881
2011-09-30,2581.35,17929323212214.2,16.7829
2011-08-31,2846.78,19314735827559.402,18.5704
2011-07-29,2972.08,20227422843704.992,20.0997
2011-06-30,3044.09,20509461175077.6,20.0764
2011-05-31,3001.56,20372968778661.496,19.8423
2011-04-29,3192.72,21490525154699.703,21.5435
2011-03-31,3223.29,21497256794829,22.9973
2011-02-28,3239.56,21288333052869.906,23.7698
2011-01-31,3076.51,20638708801975.594,22.6858
2010-12-31,3128.26,20157476464701.3,21.9008
2010-11-30,3136.99,20054875983235.8,21.6529
2010-10-29,3379.98,21273782468842.2,23.6118
2010-09-30,2935.57,18690507870596.4,20.8462
2010-08-31,2903.19,18646240243482.5,21.0676
2010-07-30,2868.846,18889306275339.01,22.3308
2010-06-30,2563.07,16052865966215.604,19.6462
2010-05-31,2773.264,17222991113307,21.3964
2010-04-30,3067.365,18981970294214.105,24.0459
2010-03-31,3345.607,20596886296169.6,30.3073
2010-02-26,3281.666,20229977602904.293,31.5104
2010-01-29,3204.155,19961541971798.594,30.7877
2009-12-31,3575.684,21913753676032.9,33.1281
2009-11-30,3511.67,21236652624785.9,32.7094
2009-10-30,3280.37,20103751573988.703,29.9174
2009-09-30,3004.8,18706271495147.504,28.2477
2009-08-31,2830.27,17783384236805.895,26.7807
2009-07-31,3734.62,22968850807326.6,32.8438
2009-06-30,3166.47,19577914856452.797,28.2621
2009-05-27,2759.71,16997501848466.4,25.7509
2009-04-30,2622.93,16036107141001.002,24.6632
2009-03-31,2507.79,15416134413009.895,20.1291
2009-02-27,2140.49,13663408945019.496,14.8616
2009-01-23,2032.68,13077933853988.1,14.0894
2008-12-31,1817.72,11850355430167.002,12.0216
2008-11-28,1829.92,12353874195368.1,12.0338
2008-10-31,1663.66,11466872979937.299,10.5084
2008-09-26,2243.66,15150106303693,15.0315
2008-08-29,2391.64,15980942189850.5,15.6698
2008-07-31,2805.21,18119026706128.2,20.6088
2008-06-30,2791.82,15886082132167.3,20.2462
2008-05-30,3611.33,19896610851650.2,27.2053
2008-04-30,3959.12,21549960257156.9,30.0386

数据来源于：理杏仁网站(lixinger.com),
