period,start_value,end_value,return,volatility,max_value,min_value
2007,99949.97499999999,113950.08902052823,0.14007121082849938,0.06843230620868554,114206.67754229407,99949.97499999999
2008,115127.01333633151,115272.65104732651,0.0012650177119555295,0.10501375155742379,117669.50933080251,100811.17294506099
2009,114716.76987983023,122640.44038093963,0.06907159702465226,0.09140643409241102,127642.43351883597,105483.20197884706
2010,124037.15161653131,139140.0041909574,0.12176071747533768,0.06804653022385278,139140.0041909574,121272.12558770728
2011,139036.35030631392,155056.03697743855,0.11521941302279082,0.07132257201943021,159020.2052602802,136564.91038802775
2012,155886.30997233803,164500.62514796565,0.05526024175667654,0.053175727662057484,168574.67565016658,155681.49901892233
2013,165375.42579876713,160403.04798566984,-0.03006721094794218,0.06807474038883772,167079.8264463909,155047.59423520212
2014,160457.2693758002,175601.64626479463,0.09438261630593625,0.04763975637048074,176508.76384675637,160457.2693758002
2015,176296.63191034034,170733.46217479176,-0.031555734646013356,0.06027914199470057,182714.58101780494,169949.34713671345
2016,170967.72967014427,179933.11762175252,0.05243906536575982,0.06051475596648449,193903.37247842876,169934.67857289
2017,180852.83283251914,199875.64964432572,0.10518395821547832,0.041679728808504936,199875.64964432572,180852.83283251914
2018,200339.38745266316,196749.21143240042,-0.017920470187676063,0.050133027576280166,204114.04725469134,193197.40545420002
2019,197095.10822442276,228993.97804005144,0.1618450610113924,0.04977975065743743,229709.15878473857,196944.6207041878
2020,230656.97409062044,264541.9262791984,0.14690625471946595,0.09776789048471642,268402.6433896075,218020.5560394174
2021,265117.3712053494,278171.43538862,0.049238811187364506,0.06247450987852531,278307.14604337804,250249.8263934134
2022,276024.3741621658,244075.97994029985,-0.1157448298500483,0.09753290523014867,276222.67485564435,230720.84324725153
2023,245347.38636879702,272542.08435881685,0.11084160460198178,0.07600693857771505,274208.6748179138,245347.38636879702
2024,271573.41870484746,305629.3323286613,0.12540223482190882,0.07242290319944913,314652.28022909234,267418.51324699697
2025,306757.5019601256,373973.79854624224,0.21911867242566707,0.08270853143920076,381973.301655329,304640.5236695927
2026,374620.12571314524,390633.8123519896,0.04274646645948321,0.014593415706498948,390633.8123519896,374620.12571314524
